indexx0,x1,layer,weight,rho,delta,nh,isSeed,clusterId
222,-143.55,51.67,0,1,11,999,-1,0,-1
223,136.61,-57.86,0,1,4.5,999,-1,0,-1
224,-53.18,66.79,0,1,30,999,-1,1,42
225,-76.96,113.81,0,1,28,999,-1,1,43
226,-41.43,78.1,0,1,20.5,999,-1,0,-1
227,96.36,-44.58,0,1,17.5,999,-1,0,-1
228,-172.04,96.52,0,1,6,999,-1,0,-1
229,-93.9,31.42,0,1,13.5,999,-1,0,-1
230,0.57,0.08,0,1,8.5,999,-1,0,-1
231,122.89,-73.61,0,1,24,999,-1,0,-1
232,-116.6,150.56,0,1,12,999,-1,0,-1
233,-43.94,51.92,0,1,22,999,-1,0,-1
234,-69.34,-40.85,0,1,27,999,-1,1,44
235,130.7,-79.87,0,1,24.5,999,-1,0,-1
236,-52.84,85.89,0,1,27,999,-1,1,45
237,-111.37,71.51,0,1,3.5,999,-1,0,-1
238,-91,110.31,0,1,26.5,999,-1,1,46
239,-86.02,121.2,0,1,30.5,999,-1,1,47
240,-34.4,50.05,0,1,25,999,-1,1,48
241,-122.81,41.73,0,1,20.5,999,-1,0,-1
242,-13.56,20.12,0,1,14.5,999,-1,0,-1
243,-104.28,30.97,0,1,21.5,999,-1,0,-1
244,-111.99,162.24,0,1,9.5,999,-1,0,-1
245,-83,111.91,0,1,30.5,999,-1,1,49
246,-89.19,-17.59,0,1,23,999,-1,0,-1
247,-27.62,-102.04,0,1,8,999,-1,0,-1
248,-44.24,-67.95,0,1,14,999,-1,0,-1
249,196.56,-163.33,0,1,14,999,-1,0,-1
250,-112.02,2.44,0,1,21,999,-1,0,-1
251,174.82,-161.84,0,1,17.5,999,-1,0,-1
252,-122.96,53.64,0,1,15,999,-1,0,-1
253,-157.2,68.3,0,1,5.5,999,-1,0,-1
254,-64.49,56.67,0,1,11.5,999,-1,0,-1
255,-20.42,22.19,0,1,14,999,-1,0,-1
256,107.1,-72.75,0,1,25.5,999,-1,1,50
257,-98.89,6.47,0,1,29,999,-1,1,51
258,111.29,-87.37,0,1,19.5,999,-1,0,-1
259,-182.07,114.45,0,1,4.5,999,-1,0,-1
260,-112.33,30.38,0,1,23.5,999,-1,0,-1
261,-83.24,138.86,0,1,13,999,-1,0,-1
262,-42.45,-72.04,0,1,12.5,999,-1,0,-1
263,159.4,-104.1,0,1,18,999,-1,0,-1
264,-100.32,136.13,0,1,16.5,999,-1,0,-1
265,-13.28,-146.46,0,1,3.5,999,-1,0,-1
266,-16.17,-86.15,0,1,8.5,999,-1,0,-1
267,121.72,-80.22,0,1,27.5,999,-1,1,52
268,-92.59,106.12,0,1,25,999,-1,1,53
269,-111.74,177.71,0,1,5,999,-1,0,-1
270,122.23,-63.03,0,1,18.5,999,-1,0,-1
271,-82.71,89.98,0,1,14,999,-1,0,-1
272,-66.16,-1.4,0,1,9,999,-1,0,-1
273,-98.87,126.97,0,1,24,999,-1,0,-1
274,-131.84,167.59,0,1,5,999,-1,0,-1
275,-96.97,-10.62,0,1,23.5,999,-1,0,-1
276,181.54,-144.65,0,1,20.5,999,-1,0,-1
277,-61.03,94.44,0,1,24,999,-1,0,-1
278,-29.17,55.73,0,1,21,999,-1,0,-1
279,-53.71,-81.38,0,1,9.5,999,-1,0,-1
280,115.47,-63.38,0,1,23,999,-1,0,-1
281,-34.45,-81.4,0,1,11,999,-1,0,-1
282,107.59,-58,0,1,23,999,-1,0,-1
283,-28.16,-87.08,0,1,11,999,-1,0,-1
284,128.65,-98.74,0,1,25.5,999,-1,1,54
285,-116.68,45.89,0,1,19.5,999,-1,0,-1
286,-50.52,47.21,0,1,17,999,-1,0,-1
287,-142.11,65.6,0,1,9.5,999,-1,0,-1
288,-13.07,15.06,0,1,14,999,-1,0,-1
289,134.53,-106.74,0,1,22,999,-1,0,-1
290,169.58,-115.97,0,1,13,999,-1,0,-1
291,-49.81,76.5,0,1,29.5,999,-1,1,55
292,-95.97,117.57,0,1,26.5,999,-1,1,56
293,-204.52,134.43,0,1,2.5,999,-1,0,-1
294,-79.17,88.83,0,1,20.5,999,-1,0,-1
295,152.2,-132.19,0,1,21,999,-1,0,-1
296,10.34,-20.98,0,1,2.5,999,-1,0,-1
297,-52.92,-63.72,0,1,16,999,-1,0,-1
298,152.41,-123.18,0,1,24,999,-1,0,-1
299,-4.21,-5.67,0,1,6,999,-1,0,-1
300,-87.09,-1.37,0,1,26,999,-1,1,57
301,-7.64,-145.59,0,1,3.5,999,-1,0,-1
302,-105.76,27.59,0,1,23,999,-1,0,-1
303,-64.98,-45.49,0,1,25,999,-1,1,58
304,123.82,-73.61,0,1,24,999,-1,0,-1
305,-92.79,105.03,0,1,25.5,999,-1,1,59
306,138.23,-120.05,0,1,16.5,999,-1,0,-1
307,-87.7,97.69,0,1,22,999,-1,0,-1
308,-91.91,9.04,0,1,23.5,999,-1,0,-1
309,-73.85,-33.94,0,1,26,999,-1,1,60
310,-121.18,34.39,0,1,19,999,-1,0,-1
311,-97.8,17.15,0,1,24,999,-1,0,-1
312,-66.12,-44.96,0,1,26,999,-1,1,61
313,-51.53,-41.86,0,1,23.5,999,-1,0,-1
314,-161.71,72.63,0,1,7,999,-1,0,-1
315,-102.79,4.48,0,1,28.5,999,-1,1,62
316,-73.21,-27.55,0,1,28.5,999,-1,1,63
317,-80.25,116.6,0,1,28.5,999,-1,1,64
318,-87.29,4.58,0,1,22.5,999,-1,0,-1
319,48.37,-29.29,0,1,2.5,999,-1,0,-1
320,-83.28,-18.25,0,1,25,999,-1,1,65
321,159.49,-142.83,0,1,23.5,999,-1,0,-1
322,184.87,-141.48,0,1,14.5,999,-1,0,-1
323,-103.99,-10.87,0,1,19,999,-1,0,-1
324,-37.69,54.06,0,1,23,999,-1,0,-1
325,141.77,-104.39,0,1,29,999,-1,1,66
326,-78.68,107.56,0,1,30,999,-1,1,67
327,133.27,-100.19,0,1,25,999,-1,1,68
328,-98.76,31.11,0,1,17.5,999,-1,0,-1
329,-92.53,-10.9,0,1,26.5,999,-1,1,69
330,-39.23,72.61,0,1,21.5,999,-1,0,-1
331,-109.2,151.92,0,1,12.5,999,-1,0,-1
332,110.96,-59.64,0,1,23,999,-1,0,-1
333,-70.16,-44.34,0,1,23,999,-1,0,-1
334,-20.62,39.23,0,1,18,999,-1,0,-1
335,-78.28,112.46,0,1,29.5,999,-1,1,70
336,-68.87,4.1,0,1,10,999,-1,0,-1
337,-46.76,45.51,0,1,19,999,-1,0,-1
338,-38.08,-45.51,0,1,10.5,999,-1,0,-1
339,-90.23,135.38,0,1,17.5,999,-1,0,-1
340,104.88,-59.1,0,1,22.5,999,-1,0,-1
341,181.24,-166.28,0,1,15.5,999,-1,0,-1
342,-45.69,79.5,0,1,24,999,-1,0,-1
343,137.57,-104.61,0,1,30,999,-1,1,71
344,-84.51,105.99,0,1,29.5,999,-1,1,72
345,147.7,-95.77,0,1,26,999,-1,1,73
346,220.18,-191.47,0,1,5,999,-1,0,-1
347,-120.49,138.75,0,1,10.5,999,-1,0,-1
348,122.3,-83.36,0,1,29.5,999,-1,1,74
349,129.86,-102.86,0,1,24,999,-1,0,-1
350,-127.89,30.7,0,1,15,999,-1,0,-1
351,-71.55,71,0,1,18.5,999,-1,0,-1
352,-67.27,88.31,0,1,27,999,-1,1,75
353,112.3,-75.99,0,1,24,999,-1,0,-1
354,-26.05,33.52,0,1,16.5,999,-1,0,-1
355,-16.38,-62.49,0,1,2,999,-1,0,-1
356,138.05,-97.24,0,1,30,999,-1,1,76
357,-56.55,-49.16,0,1,22,999,-1,0,-1
358,-37.38,78.89,0,1,18,999,-1,0,-1
359,-39.68,93.56,0,1,11.5,999,-1,0,-1
360,-147.35,87.05,0,1,7,999,-1,0,-1
361,-93.71,108.33,0,1,25,999,-1,1,77
362,134.92,-78.3,0,1,20,999,-1,0,-1
363,-32.37,50.63,0,1,24,999,-1,0,-1
364,-75.74,67.49,0,1,12.5,999,-1,0,-1
365,-99.44,1.93,0,1,29.5,999,-1,1,78
366,-108.63,-12.24,0,1,14.5,999,-1,0,-1
367,0.15,25.38,0,1,9.5,999,-1,0,-1
368,-106.7,160.49,0,1,9,999,-1,0,-1
369,194.17,-184.41,0,1,12,999,-1,0,-1
370,-118.07,24.64,0,1,19.5,999,-1,0,-1
371,-75.32,-29.2,0,1,27,999,-1,1,79
372,-83.69,116.62,0,1,31.5,999,-1,1,80
373,-56.18,92.37,0,1,24,999,-1,0,-1
374,150.38,-105.59,0,1,26.5,999,-1,1,81
375,-64.7,91.66,0,1,26,999,-1,1,82
376,-96.16,93.36,0,1,11.5,999,-1,0,-1
377,-139.37,38.78,0,1,12.5,999,-1,0,-1
378,-119.86,150.3,0,1,11,999,-1,0,-1
379,86.98,-25.06,0,1,12.5,999,-1,0,-1
380,-52.72,-29.47,0,1,17,999,-1,0,-1
381,-42.43,93.26,0,1,15,999,-1,0,-1
382,-106.2,155.23,0,1,10.5,999,-1,0,-1
383,-40.04,41.73,0,1,19,999,-1,0,-1
384,134.45,-93.38,0,1,28,999,-1,1,83
385,148.86,-114.55,0,1,26.5,999,-1,1,84
386,-59.64,91.03,0,1,29,999,-1,1,85
387,-67.03,76.77,0,1,25,999,-1,1,86
388,-120.7,151.33,0,1,11.5,999,-1,0,-1
389,193.89,-164.68,0,1,16.5,999,-1,0,-1
390,-134.57,43.23,0,1,15,999,-1,0,-1
391,183.6,-123.58,0,1,8.5,999,-1,0,-1
392,-94.96,-8.25,0,1,30,999,-1,1,87
393,-129.27,164.25,0,1,7.5,999,-1,0,-1
394,101.61,-57.75,0,1,22,999,-1,0,-1
395,104.24,-46.58,0,1,16,999,-1,0,-1
396,-158.77,95.63,0,1,7.5,999,-1,0,-1
397,-80.07,1.51,0,1,17.5,999,-1,0,-1
398,134.52,-89.42,0,1,30,999,-1,1,88
399,-159.24,89.57,0,1,8,999,-1,0,-1
400,-25.22,30.35,0,1,16.5,999,-1,0,-1
401,185.22,-134.41,0,1,12.5,999,-1,0,-1
402,-44.98,69.44,0,1,26.5,999,-1,1,89
403,-166.62,85.38,0,1,8.5,999,-1,0,-1
404,116.11,-68.41,0,1,25,999,-1,1,90
405,122.98,-101.1,0,1,21,999,-1,0,-1
406,-189.77,121.58,0,1,5.5,999,-1,0,-1
407,-4.07,18.79,0,1,12,999,-1,0,-1
408,-117.65,48.64,0,1,16.5,999,-1,0,-1
409,-191,117.33,0,1,4.5,999,-1,0,-1
410,130.69,-74.82,0,1,21.5,999,-1,0,-1
411,183.53,-163.62,0,1,16.5,999,-1,0,-1
412,-59.63,-44.15,0,1,25,999,-1,1,91
413,-99.25,-9.98,0,1,26,999,-1,1,92
414,-20.78,41.03,0,1,17,999,-1,0,-1
415,-113.91,119.1,0,1,11.5,999,-1,0,-1
416,-54.6,54.46,0,1,18.5,999,-1,0,-1
417,-89.85,114.63,0,1,27,999,-1,1,93
418,-72.81,-34.51,0,1,25.5,999,-1,1,94
419,-58.28,-70.58,0,1,10.5,999,-1,0,-1
420,-91.67,113.44,0,1,25,999,-1,1,95
421,-49.87,41.46,0,1,13.5,999,-1,0,-1
422,165.53,-137.56,0,1,26,999,-1,1,96
423,1.64,-6.67,0,1,6.5,999,-1,0,-1
424,-38.8,-82.29,0,1,10.5,999,-1,0,-1
425,203.28,-170.94,0,1,10.5,999,-1,0,-1
426,-154.52,99.79,0,1,6.5,999,-1,0,-1
427,93.99,-31.41,0,1,15,999,-1,0,-1
428,-100,23.72,0,1,22.5,999,-1,0,-1
429,-105.21,146.53,0,1,15,999,-1,0,-1
430,128.41,-95.76,0,1,26,999,-1,1,97
431,92.06,-36.03,0,1,15,999,-1,0,-1
432,-32.02,40.9,0,1,21.5,999,-1,0,-1
433,139.86,-109.51,0,1,29,999,-1,1,98
434,147.63,-105.19,0,1,26.5,999,-1,1,99
435,-92.82,-27.9,0,1,17.5,999,-1,0,-1
436,-123.88,28.98,0,1,17.5,999,-1,0,-1
437,-172.67,230,0,1,1,999,-1,0,-1
438,-90.86,146.01,0,1,11,999,-1,0,-1
439,-88.56,151.68,0,1,7,999,-1,0,-1
440,0.15,5.08,0,1,9.5,999,-1,0,-1
441,119.22,-69.24,0,1,23,999,-1,0,-1
442,-67.02,102.67,0,1,24.5,999,-1,0,-1
443,-105.38,35.99,0,1,19,999,-1,0,-1
444,173.03,-149.37,0,1,25.5,999,-1,1,100
445,100.44,-23.66,0,1,8.5,999,-1,0,-1
446,-58.17,98.36,0,1,17,999,-1,0,-1
447,-32.57,60.83,0,1,18.5,999,-1,0,-1
448,-58.54,93.28,0,1,24.5,999,-1,0,-1
449,167.19,-140.59,0,1,25.5,999,-1,1,101
450,150.62,-103.99,0,1,27,999,-1,1,102
451,153.41,-138.52,0,1,21.5,999,-1,0,-1
452,-38.16,12.38,0,1,4.5,999,-1,0,-1
453,197.66,-189.18,0,1,9.5,999,-1,0,-1
454,-80.72,95.21,0,1,24,999,-1,0,-1
455,94.87,-44.25,0,1,16.5,999,-1,0,-1
456,154.16,-111.44,0,1,26,999,-1,1,103
457,97.23,-50.44,0,1,17.5,999,-1,0,-1
458,83.32,-20.83,0,1,11.5,999,-1,0,-1
459,89.63,-26.39,0,1,13.5,999,-1,0,-1
460,-68.71,-17.88,0,1,20,999,-1,0,-1
461,81.96,-26.13,0,1,11.5,999,-1,0,-1
462,106.15,-79.57,0,1,22,999,-1,0,-1
463,-50.24,-53.49,0,1,18,999,-1,0,-1
464,-98.8,8.87,0,1,26.5,999,-1,1,104
465,-136.03,192.39,0,1,4,999,-1,0,-1
466,-90.35,-7.85,0,1,27.5,999,-1,1,105
467,31.59,-15.72,0,1,2,999,-1,0,-1
468,124.39,-65.36,0,1,18.5,999,-1,0,-1
469,144.94,-122.3,0,1,19.5,999,-1,0,-1
470,-100.41,56.19,0,1,5.5,999,-1,0,-1
471,-69.86,97.41,0,1,27.5,999,-1,1,106
472,-152.93,88.33,0,1,7.5,999,-1,0,-1
473,-66.53,-35.79,0,1,26.5,999,-1,1,107
474,-45.24,48.4,0,1,19.5,999,-1,0,-1
475,-161.91,66.52,0,1,4.5,999,-1,0,-1
476,154.46,-128.1,0,1,24,999,-1,0,-1
477,-117.95,34.04,0,1,21.5,999,-1,0,-1
478,132.02,-120.39,0,1,9,999,-1,0,-1
479,181.53,-140.26,0,1,17.5,999,-1,0,-1
480,154.59,-120.03,0,1,23.5,999,-1,0,-1
481,-65.75,76.17,0,1,27,999,-1,1,108
482,118.51,-94.09,0,1,19.5,999,-1,0,-1
483,-84.73,4.17,0,1,22,999,-1,0,-1
484,108.35,-47.3,0,1,15,999,-1,0,-1
485,96.25,-25.38,0,1,12.5,999,-1,0,-1
486,40.13,55.53,0,1,2,999,-1,0,-1
487,-42.36,78.47,0,1,20,999,-1,0,-1
488,-69.67,-22.77,0,1,23,999,-1,0,-1
489,-102.73,24.43,0,1,23.5,999,-1,0,-1
490,-101.88,121.77,0,1,24.5,999,-1,0,-1
491,-14.21,68.43,0,1,5,999,-1,0,-1
492,-52.82,56.96,0,1,20,999,-1,0,-1
493,137.07,-108.64,0,1,28.5,999,-1,1,109
494,-123.13,37.73,0,1,20.5,999,-1,0,-1
495,174,-152.58,0,1,23,999,-1,0,-1
496,-118.48,12.97,0,1,15.5,999,-1,0,-1
497,-183.82,112.79,0,1,4.5,999,-1,0,-1
498,173.6,-141.03,0,1,24.5,999,-1,0,-1
